source_models,source_checkpoints,target_model,target_checkpoint,attack,epsilon,alpha,steps,momentum,random_start,diversity_prob,resize_rate,samples,source_clean_acc,target_clean_acc,joint_clean_acc,adv_error_rate_all,transfer_asr_target_clean,transfer_asr_joint_clean,mean_ssim_target_clean,mean_ssim_joint_clean,transfer_score_target_clean,transfer_score_joint_clean,family,config_id,source_protocol,source_anchor
resnet18,models_public\resnet18_best.pt,resnet34,models_public\resnet34_best.pt,mi_fgsm,0.03137254901960784,0.00784313725490196,10,1.0,False,0.0,0.9,32,0.9375,1.0,0.9375,0.90625,0.90625,0.9,0.9918864677692282,0.9919743361296477,89.8897111415863,89.27769025166829,mi_fgsm,mi_e8_a2_s10_m1.0,single_source_to_others,resnet18
resnet18,models_public\resnet18_best.pt,vgg16,models_public\vgg16_best.pt,mi_fgsm,0.03137254901960784,0.00784313725490196,10,1.0,False,0.0,0.9,32,0.9375,0.96875,0.90625,0.78125,0.7741935483870968,0.7586206896551724,0.9916418790817261,0.9917273954911665,76.77227450955299,75.23449207174366,mi_fgsm,mi_e8_a2_s10_m1.0,single_source_to_others,resnet18
resnet18,models_public\resnet18_best.pt,densenet121,models_public\densenet121_best.pt,mi_fgsm,0.03137254901960784,0.00784313725490196,10,1.0,False,0.0,0.9,32,0.9375,0.96875,0.9375,0.90625,0.9032258064516129,0.9,0.9915932927812848,0.9913938310411241,89.56326515443862,89.22544479370117,mi_fgsm,mi_e8_a2_s10_m1.0,single_source_to_others,resnet18
resnet18,models_public\resnet18_best.pt,resnet34,models_public\resnet34_best.pt,mi_fgsm,0.03137254901960784,0.00392156862745098,12,1.0,False,0.0,0.9,32,0.9375,1.0,0.9375,0.875,0.875,0.8666666666666667,0.9923309598650251,0.9924005361703726,86.8289589881897,86.00804646809897,mi_fgsm,mi_e8_a1_s12_m1.0,single_source_to_others,resnet18
resnet18,models_public\resnet18_best.pt,vgg16,models_public\vgg16_best.pt,mi_fgsm,0.03137254901960784,0.00392156862745098,12,1.0,False,0.0,0.9,32,0.9375,0.96875,0.90625,0.8125,0.8064516129032258,0.7931034482758621,0.9921305847167968,0.9921918122664742,80.01053102554813,78.69107476596174,mi_fgsm,mi_e8_a1_s12_m1.0,single_source_to_others,resnet18
resnet18,models_public\resnet18_best.pt,densenet121,models_public\densenet121_best.pt,mi_fgsm,0.03137254901960784,0.00392156862745098,12,1.0,False,0.0,0.9,32,0.9375,0.96875,0.9375,0.90625,0.9032258064516129,0.9,0.9921841961996896,0.9919994495533131,89.61663707610099,89.27995045979817,mi_fgsm,mi_e8_a1_s12_m1.0,single_source_to_others,resnet18
resnet18,models_public\resnet18_best.pt,resnet34,models_public\resnet34_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,1.0,False,0.0,0.9,32,0.9375,1.0,0.9375,0.9375,0.9375,0.9333333333333333,0.9873547554016113,0.9874352727617536,92.56450831890106,92.16062545776366,mi_fgsm,mi_e10_a2_s12_m1.0,single_source_to_others,resnet18
resnet18,models_public\resnet18_best.pt,vgg16,models_public\vgg16_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,1.0,False,0.0,0.9,32,0.9375,0.96875,0.90625,0.875,0.8709677419354839,0.8620689655172413,0.9868715074327257,0.9869230651855468,85.95332484091482,85.07957458496092,mi_fgsm,mi_e10_a2_s12_m1.0,single_source_to_others,resnet18
resnet18,models_public\resnet18_best.pt,densenet121,models_public\densenet121_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,1.0,False,0.0,0.9,32,0.9375,0.96875,0.9375,0.9375,0.9354838709677419,0.9333333333333333,0.9876450505749933,0.9873629638126918,92.3926015054026,92.1538766225179,mi_fgsm,mi_e10_a2_s12_m1.0,single_source_to_others,resnet18
resnet18,models_public\resnet18_best.pt,resnet34,models_public\resnet34_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,0.75,False,0.3,0.85,32,0.9375,1.0,0.9375,0.96875,0.96875,0.9666666666666667,0.9886091909100932,0.9887005378460062,95.77151536941528,95.57438532511394,mi_fgsm,mi_e10_a2_s12_m0.75_d0.3,single_source_to_others,resnet18
